,0
0,2.589569068511566
1,2.6026701910074856
2,2.5822014560164135
3,2.5508702033997914
4,2.5112101178055384
5,2.529627914659871
6,2.5230604880939884
7,2.505063772554163
8,2.475022241609427
9,0.0
10,2.4877173829066566
11,2.4996433769071826
12,2.487879770861856
13,2.4951316046325176
14,2.491715024068728
15,2.4907436411563175
16,0.0
17,0.0
18,0.0
19,2.4847602180843107
20,2.4847602180843107
21,2.4855420050367947
22,2.5310300023764403
23,2.602182043084311
24,2.5805119676496124
25,2.5774546268645513
26,2.574909198959572
27,2.574909198959572
28,2.608418209517999
29,2.6040227169237142
30,2.612743836472287
31,2.618421954801087
32,2.6162649293396383
33,2.617545167694814
34,2.6160810481453325
35,2.6017848691350056
36,2.6320865668909237
37,2.6324093652512675
38,2.6324093652512675
39,2.6266263434144608
40,2.626979543281884
41,2.603300383213007
42,2.6256542949487462
43,2.663185297764126
44,2.5973167837635995
45,2.556726973817059
46,2.5408619625909092
47,2.5408619625909092
48,2.5595011044717695
49,2.571077900926665
50,2.5537312086121804
51,2.534966258509405
52,2.5315868578535943
53,2.5247872611206383
54,2.521395625990165
55,2.5823839315636987
56,2.578770748460874
57,2.5560723971774757
58,2.570813733384897
59,2.576435372301192
60,2.6942601058072757
61,2.7566546258744684
62,2.7851904455350196
63,2.9967250294097343
64,2.8278816174152372
65,2.881756630031844
66,2.9683715989532926
67,3.0534252146460354
68,2.9898686860553725
69,2.9162012671180975
70,2.9819422885546576
71,2.8852774339180156
72,2.873169026457536
73,2.8958348389820037
74,2.8958348389820037
75,2.7363751452599483
76,2.6870168672217485
77,2.830445364359628
78,2.7644682682984927
79,2.7660081523747095
80,2.7675516915158607
81,2.683214398254549
82,2.6826007180504843
83,2.6237858560287655
84,2.7166948651897918
85,2.6852616957414233
86,2.804880587810207
87,2.8033777027938207
88,2.880555272824037
89,2.880555272824037
90,2.897530491302871
91,2.9081736677645758
92,2.9081736677645758
93,2.911310855312318
94,2.8383135872252763
95,2.8425044288803565
96,2.9779642515582103
97,2.888019604585818
