,vm_a_pu,va_a_degree,vm_b_pu,va_b_degree,vm_c_pu,va_c_degree,p_a_mw,q_a_mvar,p_b_mw,q_b_mvar,p_c_mw,q_c_mvar,unbalance_percent
0,1.050110740801938,-0.0016302650288203926,1.049918756684902,-120.0044183550727,1.04997051191081,120.00604862004843,-0.007252543977992897,-0.0003448373670619581,-0.00852327019434659,-0.003725863478399365,-0.0049585091231384324,-0.003137817938485648,0.010923857147049555
1,1.2879049191617593,-24.32814456422158,0.7652854830447957,-136.33837644180775,1.0147594208912,72.16854150319026,0.0,0.0,0.0,0.0,0.0,0.0,0.03932134262941982
2,1.2875260648259579,-24.267677674124634,0.7636537632071524,-136.24133093185702,1.0147369330369658,72.19360459668975,0.0,0.0,0.0,0.0,0.0,0.0,0.05967501047288447
3,1.287471348356664,-24.26513206684812,0.7636532232282569,-136.24140520452153,1.0147378792358601,72.19363923126012,0.0,0.0,0.0,0.0,0.0,0.0,0.05710872236777804
4,1.2873897364221507,-24.236427339327605,0.7627368776534937,-136.18173902425255,1.0146815097732211,72.20647722923397,0.0,0.0,0.0,0.0,0.0,0.0,0.07881483082972995
5,1.2874662320604808,-24.263912351939062,0.763652873321265,-136.24141930312652,1.0147382764072483,72.19363915399117,3.6e-05,0.0003286841051788632,0.0,0.0,0.0,0.0,0.05626017507454883
6,1.287391947507349,-24.236353081310117,0.7625631703049204,-136.17517372177213,1.0146829195983371,72.20634259218889,0.0,0.0,0.0,0.0,0.0,0.0,0.0850866834329783
7,1.287393567097676,-24.236265547602635,0.7623890546761539,-136.17210019574813,1.014684692222615,72.20623925394082,0.0,0.0,0.001042,0.0003286841051788632,0.0,0.0,0.09099171805746245
8,1.2869904632114721,-24.189928751188695,0.7616458373165711,-136.0976460105059,1.0144763929857978,72.23852382039357,0.0,0.0,0.0,0.0,0.0,0.0,0.1040794151103804
9,1.2869327320265809,-24.18630227607086,0.7616449798458219,-136.097731368587,1.0144776862788782,72.23855724184394,0.0,0.0,0.0,0.0,0.0,0.0,0.10097628334440963
10,1.2874152804548855,-24.263761046087268,0.7636530474083562,-136.24147229500966,1.0147384596255924,72.19367890328263,0.000504,0.0003286841051788632,0.0,0.0,0.0,0.0,0.05525878872200252
11,1.2869281097019758,-24.185384011155595,0.7616447196928323,-136.09774277236338,1.0144779872138578,72.23855780404003,4.7999999999999974e-05,0.0003286841051788633,0.0,0.0,0.0,0.0,0.10027946721719119
12,1.286909137315201,-24.18544784651652,0.7616448208735651,-136.0977616873082,1.014478017496745,72.23857301579575,0.000347,0.0003286841051788631,0.0,0.0,0.0,0.0,0.10016092807305715
13,1.2873927393461144,-24.23636119901201,0.762550069079764,-136.17100236859775,1.0146826494889694,72.20629931818517,0.0,0.0,5.199999999999996e-05,0.0003286841051788632,0.0,0.0,0.08598920740470967
14,1.2868041921434097,-24.164491510480087,0.7609858506613978,-136.04139699875515,1.014302719577765,72.25761882724854,0.0,0.0,0.0,0.0,0.0,0.0,0.12264109979957037
15,1.2866700832535747,-24.145770621798686,0.7605361370379975,-136.01454230892998,1.0143271923853296,72.2695846939867,0.0,0.0,0.0,0.0,0.0,0.0,0.133523856022708
16,1.2866681359266188,-24.14575809263956,0.760531388024452,-136.0141352287328,1.0143227902966683,72.26977688329048,0.0,0.0,0.0,0.0,0.0,0.0,0.13376684323586796
17,1.28667318723962,-24.146092928966375,0.7605166466829179,-136.01215693315396,1.0143000955493144,72.27034444320535,0.0,0.0,0.0,0.0,0.0,0.0,0.13487135111260218
18,1.286659587565131,-24.146280510040828,0.7605256211592284,-136.0129895896582,1.0142825550867158,72.27195000621161,0.0,0.0,0.0,0.0,0.0,0.0,0.13510535235120225
19,1.2868060561537045,-24.16535067237368,0.7609744262028015,-136.03808032493473,1.0142461458285799,72.25696795477481,0.0,0.0,0.0,0.0,0.0,0.0,0.12315507510753182
20,1.2868005686123682,-24.16601388975032,0.7609738802339628,-136.03636792115518,1.014200786875543,72.25681008067151,0.0,0.0,0.0,0.0,0.0,0.0,0.12325505095300321
21,1.2868083473622225,-24.16537308040428,0.7609351700266606,-136.02603862128134,1.0142453893891488,72.25684251580117,0.0,0.0,5.499999999999993e-05,0.0003286841051788633,0.0,0.0,0.12662802094408726
22,1.286798662273659,-24.166187172152014,0.7609782020281601,-136.03639196588617,1.013932708954123,72.26493522265426,0.0,0.0,0.0,0.0,0.0,0.0,0.1245799177559784
23,1.2868034688377823,-24.165854535568815,0.7609506160191404,-136.03433702594276,1.0142010682400675,72.25613227235402,0.0,0.0,0.0,0.0,0.0,0.0,0.12388221820722306
24,1.2868119027255498,-24.165924794683693,0.7609399025268768,-136.03305393311118,1.0141985568809826,72.25566877185874,0.0,0.0,0.0,0.0,0.0,0.0,0.12427903107313958
25,1.2867981430685094,-24.166239300601553,0.7609794819299909,-136.03639540686657,1.0138519264645502,72.26716517199272,0.0,0.0,0.0,0.0,0.0005610000000000001,0.0003286841051788632,0.12501223676018278
26,1.2867147063114983,-24.1618818160638,0.7609497856771068,-136.03445666295522,1.0142025524377174,72.25618908382576,0.0002810000000000001,0.0003286841051788631,0.0,0.0,0.0,0.0,0.12036802268363447
27,1.286815262910675,-24.16595854722273,0.7608836250898977,-136.01534584910232,1.014197427695274,72.25548492529323,0.0,0.0,0.0,0.0,0.0,0.0,0.12940458950452838
28,1.2863773723212215,-24.11015639932621,0.7595885120644494,-135.97427515699232,1.014379700920818,72.28729097865418,0.0,0.0,0.0,0.0,0.0,0.0,0.15208185451523268
