,scenario,bus_idx,installed_kW,violation
60,PVEV_bus_2_iter_60,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
61,PVEV_bus_2_iter_61,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
62,PVEV_bus_2_iter_62,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
63,PVEV_bus_2_iter_63,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
64,PVEV_bus_2_iter_64,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
65,PVEV_bus_2_iter_65,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
66,PVEV_bus_2_iter_66,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
67,PVEV_bus_2_iter_67,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
68,PVEV_bus_2_iter_68,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
69,PVEV_bus_2_iter_69,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
70,PVEV_bus_2_iter_70,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
71,PVEV_bus_2_iter_71,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
72,PVEV_bus_2_iter_72,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
73,PVEV_bus_2_iter_73,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
74,PVEV_bus_2_iter_74,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
75,PVEV_bus_2_iter_75,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
76,PVEV_bus_2_iter_76,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
77,PVEV_bus_2_iter_77,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
78,PVEV_bus_2_iter_78,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
79,PVEV_bus_2_iter_79,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
80,PVEV_bus_2_iter_80,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
81,PVEV_bus_2_iter_81,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
82,PVEV_bus_2_iter_82,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
83,PVEV_bus_2_iter_83,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
84,PVEV_bus_2_iter_84,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
85,PVEV_bus_2_iter_85,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
86,PVEV_bus_2_iter_86,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
87,PVEV_bus_2_iter_87,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
88,PVEV_bus_2_iter_88,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
89,PVEV_bus_2_iter_89,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
