,scenario,bus_idx,phase,installed_kW,num_injections,violation
0,EV_bus_64_iter_0,64,C,4.003703096832182,1,Overvoltage
1,EV_bus_64_iter_1,64,C,1.7728114006211717,1,Overvoltage
2,EV_bus_64_iter_2,64,C,2.491874346907517,1,Overvoltage
3,EV_bus_64_iter_3,64,A,2.327073806677912,1,Overvoltage
4,EV_bus_64_iter_4,64,A,3.3190302915688443,1,Overvoltage
5,EV_bus_64_iter_5,64,A,3.4884414930617926,1,Overvoltage
6,EV_bus_64_iter_6,64,B,3.933344368969396,1,Overvoltage
7,EV_bus_64_iter_7,64,C,4.414407197127554,1,Overvoltage
8,EV_bus_64_iter_8,64,C,3.539867832091931,1,Overvoltage
9,EV_bus_64_iter_9,64,B,2.7810671716168947,1,Overvoltage
10,EV_bus_64_iter_10,64,A,4.836011841230939,1,Overvoltage
11,EV_bus_64_iter_11,64,C,2.2843739225230086,1,Overvoltage
12,EV_bus_64_iter_12,64,B,1.9323673466780042,1,Overvoltage
13,EV_bus_64_iter_13,64,A,1.056402830772209,1,Overvoltage
14,EV_bus_64_iter_14,64,A,3.6956767583046157,1,Overvoltage
15,EV_bus_64_iter_15,64,B,2.9495653352283977,1,Overvoltage
16,EV_bus_64_iter_16,64,C,2.5088869918088657,1,Overvoltage
17,EV_bus_64_iter_17,64,B,3.159850354348697,1,Overvoltage
18,EV_bus_64_iter_18,64,C,2.426331326395213,1,Overvoltage
19,EV_bus_64_iter_19,64,C,1.4978931734625789,1,Overvoltage
20,EV_bus_64_iter_20,64,A,3.955684899223628,1,Overvoltage
21,EV_bus_64_iter_21,64,A,1.6041700408458843,1,Overvoltage
22,EV_bus_64_iter_22,64,A,3.649254068872229,1,Overvoltage
23,EV_bus_64_iter_23,64,A,2.8364272031097664,1,Overvoltage
24,EV_bus_64_iter_24,64,B,2.577364215528914,1,Overvoltage
25,EV_bus_64_iter_25,64,A,4.155653680215812,1,Overvoltage
26,EV_bus_64_iter_26,64,A,2.3016042752448835,1,Overvoltage
27,EV_bus_64_iter_27,64,B,1.776960291729106,1,Overvoltage
28,EV_bus_64_iter_28,64,B,4.347698002470899,1,Overvoltage
29,EV_bus_64_iter_29,64,A,4.447417306931074,1,Overvoltage
30,EV_bus_64_iter_30,64,B,4.1756981768065575,1,Overvoltage
31,EV_bus_64_iter_31,64,A,3.793454782136713,1,Overvoltage
32,EV_bus_64_iter_32,64,C,3.9461164102128765,1,Overvoltage
33,EV_bus_64_iter_33,64,A,1.4216962473756931,1,Overvoltage
34,EV_bus_64_iter_34,64,A,3.1600285319637,1,Overvoltage
35,EV_bus_64_iter_35,64,A,3.4758413209942067,1,Overvoltage
36,EV_bus_64_iter_36,64,B,3.7031551371105733,1,Overvoltage
37,EV_bus_64_iter_37,64,A,1.4782670730391803,1,Overvoltage
38,EV_bus_64_iter_38,64,A,3.29140930406212,1,Overvoltage
39,EV_bus_64_iter_39,64,A,1.0225215220072865,1,Overvoltage
40,EV_bus_64_iter_40,64,B,3.9808120054150273,1,Overvoltage
41,EV_bus_64_iter_41,64,A,1.857133496702684,1,Overvoltage
42,EV_bus_64_iter_42,64,C,4.864825229680789,1,Overvoltage
43,EV_bus_64_iter_43,64,C,3.0731017628601762,1,Overvoltage
44,EV_bus_64_iter_44,64,B,3.59587496597047,1,Overvoltage
45,EV_bus_64_iter_45,64,B,2.1155476267212014,1,Overvoltage
46,EV_bus_64_iter_46,64,C,2.9464872474450696,1,Overvoltage
47,EV_bus_64_iter_47,64,A,4.967276224023983,1,Overvoltage
48,EV_bus_64_iter_48,64,B,2.5904016508002434,1,Overvoltage
49,EV_bus_64_iter_49,64,B,4.073379720145683,1,Overvoltage
50,EV_bus_66_iter_0,66,A,1.0603368700099685,1,Overvoltage
51,EV_bus_66_iter_1,66,B,1.1019631073909069,1,Overvoltage
